"","user","date_time","date","hour","day","price"
"165","bitcoinprice",2017-05-22 22:00:03,2017-05-22,22,"Mon",2139.73
"166","bitcoinprice",2017-05-22 21:00:03,2017-05-22,21,"Mon",2151.89
"167","bitcoinprice",2017-05-22 20:00:04,2017-05-22,20,"Mon",2153.11
"168","bitcoinprice",2017-05-22 19:00:03,2017-05-22,19,"Mon",2224.12
"169","bitcoinprice",2017-05-22 18:00:03,2017-05-22,18,"Mon",2211.37
"170","bitcoinprice",2017-05-22 17:00:05,2017-05-22,17,"Mon",2202.71
"171","bitcoinprice",2017-05-22 16:00:02,2017-05-22,16,"Mon",2178.03
"172","bitcoinprice",2017-05-22 15:00:03,2017-05-22,15,"Mon",2178.76
"173","bitcoinprice",2017-05-22 14:00:03,2017-05-22,14,"Mon",2143.57
"174","bitcoinprice",2017-05-22 13:00:04,2017-05-22,13,"Mon",2135.3
"175","bitcoinprice",2017-05-22 12:00:04,2017-05-22,12,"Mon",2126.1
"176","bitcoinprice",2017-05-22 11:00:03,2017-05-22,11,"Mon",2124.08
"177","bitcoinprice",2017-05-22 10:00:03,2017-05-22,10,"Mon",2102.61
"178","bitcoinprice",2017-05-22 09:00:03,2017-05-22,9,"Mon",2133.15
"179","bitcoinprice",2017-05-22 08:00:02,2017-05-22,8,"Mon",2140.12
"180","bitcoinprice",2017-05-22 07:00:13,2017-05-22,7,"Mon",2130.35
"181","bitcoinprice",2017-05-22 06:00:03,2017-05-22,6,"Mon",2116.58
"182","bitcoinprice",2017-05-22 05:00:03,2017-05-22,5,"Mon",2088.71
"183","bitcoinprice",2017-05-22 04:00:03,2017-05-22,4,"Mon",2064.9
"184","bitcoinprice",2017-05-22 03:00:03,2017-05-22,3,"Mon",2046.45
"185","bitcoinprice",2017-05-22 02:00:04,2017-05-22,2,"Mon",2040.76
"186","bitcoinprice",2017-05-22 01:00:03,2017-05-22,1,"Mon",2034.88
"187","bitcoinprice",2017-05-22 00:00:24,2017-05-22,0,"Mon",2027.91
"188","bitcoinprice",2017-05-21 23:00:04,2017-05-21,23,"Sun",2025.61
"189","bitcoinprice",2017-05-21 22:00:04,2017-05-21,22,"Sun",2019.97
"190","bitcoinprice",2017-05-21 21:00:05,2017-05-21,21,"Sun",2016.39
"191","bitcoinprice",2017-05-21 20:00:03,2017-05-21,20,"Sun",2022.36
"192","bitcoinprice",2017-05-21 19:00:05,2017-05-21,19,"Sun",2022.27
"193","bitcoinprice",2017-05-21 18:00:03,2017-05-21,18,"Sun",2015.48
"194","bitcoinprice",2017-05-21 17:00:03,2017-05-21,17,"Sun",2007.74
"195","bitcoinprice",2017-05-21 16:00:04,2017-05-21,16,"Sun",2012.69
"196","bitcoinprice",2017-05-21 15:00:04,2017-05-21,15,"Sun",1995.39
"197","bitcoinprice",2017-05-21 14:00:04,2017-05-21,14,"Sun",2025.88
"198","bitcoinprice",2017-05-21 13:00:03,2017-05-21,13,"Sun",2006.46
"199","bitcoinprice",2017-05-21 12:00:03,2017-05-21,12,"Sun",2068.57
"200","bitcoinprice",2017-05-21 11:00:04,2017-05-21,11,"Sun",2070.44
"201","bitcoinprice",2017-05-21 10:00:03,2017-05-21,10,"Sun",2055.87
"202","bitcoinprice",2017-05-21 09:00:04,2017-05-21,9,"Sun",2052.45
"203","bitcoinprice",2017-05-21 08:00:04,2017-05-21,8,"Sun",2042.87
"204","bitcoinprice",2017-05-21 07:00:03,2017-05-21,7,"Sun",2053.21
"205","bitcoinprice",2017-05-21 06:00:04,2017-05-21,6,"Sun",2045
"206","bitcoinprice",2017-05-21 05:00:04,2017-05-21,5,"Sun",2042.56
"207","bitcoinprice",2017-05-21 04:00:04,2017-05-21,4,"Sun",2043.42
"208","bitcoinprice",2017-05-21 03:00:04,2017-05-21,3,"Sun",2033.92
"209","bitcoinprice",2017-05-21 02:00:04,2017-05-21,2,"Sun",2036
"210","bitcoinprice",2017-05-21 01:00:03,2017-05-21,1,"Sun",2033.62
"211","bitcoinprice",2017-05-21 00:00:04,2017-05-21,0,"Sun",2025.69
"212","bitcoinprice",2017-05-20 23:00:03,2017-05-20,23,"Sat",2019.69
"213","bitcoinprice",2017-05-20 22:00:04,2017-05-20,22,"Sat",2015.25
"214","bitcoinprice",2017-05-20 21:00:03,2017-05-20,21,"Sat",2016.31
"215","bitcoinprice",2017-05-20 20:00:03,2017-05-20,20,"Sat",1995.06
"216","bitcoinprice",2017-05-20 19:00:03,2017-05-20,19,"Sat",1991.13
"217","bitcoinprice",2017-05-20 18:00:03,2017-05-20,18,"Sat",1984.23
"218","bitcoinprice",2017-05-20 17:00:03,2017-05-20,17,"Sat",1976.09
"219","bitcoinprice",2017-05-20 16:00:04,2017-05-20,16,"Sat",1966.14
"220","bitcoinprice",2017-05-20 15:00:03,2017-05-20,15,"Sat",1971.82
"221","bitcoinprice",2017-05-20 14:00:04,2017-05-20,14,"Sat",1966.51
"222","bitcoinprice",2017-05-20 13:00:03,2017-05-20,13,"Sat",1974.56
"223","bitcoinprice",2017-05-20 12:00:03,2017-05-20,12,"Sat",1970.7
"224","bitcoinprice",2017-05-20 11:00:03,2017-05-20,11,"Sat",1967.16
"225","bitcoinprice",2017-05-20 10:00:04,2017-05-20,10,"Sat",1980.61
"226","bitcoinprice",2017-05-20 09:00:04,2017-05-20,9,"Sat",1989.38
"227","bitcoinprice",2017-05-20 08:00:03,2017-05-20,8,"Sat",1987.39
"228","bitcoinprice",2017-05-20 07:00:04,2017-05-20,7,"Sat",1986.33
"229","bitcoinprice",2017-05-20 06:00:33,2017-05-20,6,"Sat",1985.97
